State,County,PovertyRate,MedianHouseholdIncome
AR,Marion County,16.3,"38,760"
AR,Miller County,14.1,"50,905"
AR,Mississippi County,23,"39,990"
AR,Monroe County,25.5,"34,289"
AR,Montgomery County,19.9,"39,591"
AR,Nevada County,24.1,"36,528"
AR,Newton County,18.1,"37,648"
AR,Ouachita County,17.3,"46,393"
AR,Perry County,16.5,"50,560"
AR,Phillips County,33.3,"31,521"
AR,Pike County,16.9,"44,426"
AR,Poinsett County,23.1,"40,536"
AR,Polk County,20.2,"39,722"
AR,Pope County,16.9,"47,519"
AR,Prairie County,15,"46,205"
AR,Pulaski County,14.6,"52,684"
AR,Randolph County,17.3,"42,875"
AR,St. Francis County,32,"34,389"
AR,Saline County,9.6,"66,944"
AR,Scott County,19.6,"38,065"
AR,Searcy County,22.4,"34,712"
AR,Sebastian County,15.9,"48,945"
AR,Sevier County,17.7,"43,493"
AR,Sharp County,23.3,"37,591"
AR,Stone County,19.3,"36,930"
AR,Union County,18.9,"46,602"
AR,Van Buren County,19.9,"38,096"
AR,Washington County,15.1,"52,158"
AR,White County,15.4,"46,388"
AR,Woodruff County,27.1,"36,568"
AR,Yell County,15.6,"44,469"
CA,California,11.8,"80,423"
CA,Alameda County,8.9,"107,589"
CA,Alpine County,17.2,"58,112"
CA,Amador County,9.8,"62,640"
CA,Butte County,16.1,"58,394"
CA,Calaveras County,12.1,"68,248"
CA,Colusa County,12,"59,048"
CA,Contra Costa County,7.9,"106,555"
CA,Del Norte County,17.9,"48,979"
CA,El Dorado County,8.7,"86,202"
CA,Fresno County,20.5,"56,926"
CA,Glenn County,12.1,"55,682"
CA,Humboldt County,19.1,"51,134"
CA,Imperial County,22,"48,102"
CA,Inyo County,11.7,"59,605"
CA,Kern County,19,"53,245"
CA,Kings County,16,"57,297"
CA,Lake County,18.3,"46,897"
CA,Lassen County,16.5,"53,613"
CA,Los Angeles County,13.4,"72,721"
CA,Madera County,17.6,"61,105"
CA,Marin County,6.9,"112,069"
CA,Mariposa County,15.1,"52,760"
CA,Mendocino County,14,"52,309"
CA,Merced County,17,"59,733"
CA,Modoc County,20.5,"45,311"
CA,Mono County,10.1,"66,226"
CA,Monterey County,12.6,"76,509"
CA,Napa County,7.4,"90,230"
CA,Nevada County,9.4,"69,550"
CA,Orange County,9.5,"95,761"
CA,Placer County,6.6,"97,688"
CA,Plumas County,13.2,"59,376"
CA,Riverside County,11.3,"72,905"
CA,Sacramento County,12.6,"71,891"
CA,San Benito County,10.4,"84,209"
CA,San Bernardino County,13.3,"67,398"
CA,San Diego County,10.3,"83,576"
CA,San Francisco County,9.5,"121,795"
CA,San Joaquin County,13.6,"68,458"
CA,San Luis Obispo County,11.6,"76,599"
CA,San Mateo County,6.1,"135,234"
CA,Santa Barbara County,12,"74,530"
CA,Santa Clara County,6.1,"132,444"
CA,Santa Cruz County,10.6,"85,770"
CA,Shasta County,13.3,"61,464"
CA,Sierra County,12.7,"55,862"
CA,Siskiyou County,17.4,"45,954"
CA,Solano County,9,"85,704"
CA,Sonoma County,7.2,"87,084"
CA,Stanislaus County,13,"62,761"
CA,Sutter County,12.8,"60,910"
CA,Tehama County,16.3,"51,672"
CA,Trinity County,16.5,"43,881"
CA,Tulare County,18.9,"56,776"
CA,Tuolumne County,11.3,"64,729"
CA,Ventura County,8.2,"91,446"
CA,Yolo County,16.9,"70,951"
CA,Yuba County,15.2,"56,607"
CO,Colorado,9.4,"77,104"
CO,Adams County,9.3,"75,341"
CO,Alamosa County,19.6,"38,213"
CO,Arapahoe County,7.2,"82,364"
CO,Archuleta County,10.8,"57,604"
CO,Baca County,19.3,"38,945"
CO,Bent County,34.4,"35,764"
CO,Boulder County,10.7,"88,341"
CO,Broomfield County,4.1,"106,892"
CO,Chaffee County,11,"60,331"
CO,Cheyenne County,13.7,"52,337"
CO,Clear Creek County,7.4,"79,900"
CO,Conejos County,19.9,"40,944"
CO,Costilla County,24.6,"34,731"
CO,Crowley County,40,"38,224"
CO,Custer County,11.8,"57,381"
CO,Delta County,15.1,"51,525"
CO,Denver County,12.1,"75,456"
CO,Dolores County,12.8,"50,232"
CO,Douglas County,2.7,"123,697"
CO,Eagle County,7.9,"89,268"
CO,Elbert County,5.7,"101,733"
CO,El Paso County,8.8,"72,675"
CO,Fremont County,16.1,"52,239"
CO,Garfield County,9.6,"73,788"
CO,Gilpin County,6.8,"74,806"
CO,Grand County,8.1,"71,029"
CO,Gunnison County,11.6,"60,408"
CO,Hinsdale County,8.9,"61,391"
CO,Huerfano County,20,"39,955"
CO,Jackson County,12.6,"53,577"
CO,Jefferson County,7.2,"89,696"
CO,Kiowa County,13.5,"46,901"
CO,Kit Carson County,13.2,"42,951"
CO,Lake County,11.4,"56,850"
CO,La Plata County,11.3,"77,829"
CO,Larimer County,10.3,"75,332"
CO,Las Animas County,17.6,"43,452"
CO,Lincoln County,17,"43,077"
