State,County_Name,socio_index,built_index,air_index,land_index,water_index,environmental_quality_index
IA,Floyd County,0.213614225,-0.757073224,-0.292711765,1.1359905,0.215611488,-0.262239814
IA,Franklin County,0.128396302,-0.776813805,-0.207903236,1.271545291,0.346583396,-0.153668001
IA,Fremont County,-0.115406789,-0.926498473,-0.49946931,0.81188041,1.107340693,-0.342870533
IA,Greene County,-0.091058806,-1.537343979,-0.45904538,1.261868,-1.395650148,-1.002019286
IA,Grundy County,-0.277585953,-0.913794875,-0.666522205,1.115188837,0.274496973,-0.488099426
IA,Guthrie County,-0.316460699,-1.121893764,-0.407445341,1.060480714,-1.395774841,-0.774583459
IA,Hamilton County,-0.165656343,-0.661870122,-1.116188407,1.322343349,0.930813372,-0.447542995
IA,Hancock County,0.243586749,-0.777373493,-0.195324421,1.315769792,-1.387423992,-0.476596624
IA,Hardin County,-0.283304095,-1.082642078,-0.680404902,1.250734568,0.385124505,-0.529086888
IA,Harrison County,-0.164543033,-0.382165819,-0.456920415,1.206079602,0.765397727,0.014577466
IA,Henry County,-0.1181117,-0.907423854,-0.069825463,0.861454368,0.255824,-0.235439181
IA,Howard County,0.416293323,-1.208239436,0.316897124,1.014304042,0.775577366,-0.107982747
IA,Humboldt County,-0.056653183,-1.093210697,-0.223216206,1.186802745,0.407273978,-0.31676811
IA,Ida County,0.163794637,-1.289919257,-0.617308259,1.061735511,-0.159190759,-0.813076675
IA,Iowa County,-0.470053613,-0.922027826,-0.982452035,1.020203948,0.635989845,-0.603501201
IA,Jackson County,-0.142684489,-0.566224992,0.08341112,0.836513996,0.274545729,0.033246785
IA,Jasper County,-0.467633098,-0.11197304,0.194468319,1.104089737,-1.391868472,0.135993421
IA,Jefferson County,-0.519580245,-1.524040461,0.113369644,0.865987718,-1.396056652,-0.715899229
IA,Johnson County,-2.228028774,-0.311478436,0.073089145,1.254170537,0.790680349,0.640580952
IA,Jones County,-0.204789042,-0.216181874,1.404198527,1.257362127,0.609916627,1.150237322
IA,Keokuk County,0.192609474,-0.192890078,0.251782745,0.936613321,0.227085099,0.300431281
IA,Kossuth County,-0.047604628,-1.524302721,-0.415009797,1.364081979,0.780124068,-0.54005444
IA,Lee County,0.119276255,-0.765877783,-0.274613261,0.900576174,0.757313967,-0.20328176
IA,Linn County,-1.681665897,0.136406317,0.850640476,1.11792171,0.816055954,1.218705773
IA,Louisa County,0.533537447,-0.607139885,1.005731225,1.195939064,0.766554058,0.632971346
IA,Lucas County,0.71802932,-0.807569861,0.079858378,0.380256623,-1.37494719,-0.637834549
IA,Lyon County,0.244215116,-0.222316876,-0.53167659,1.472418666,-1.388578057,-0.33273229
IA,Madison County,-0.355197847,0.154636368,-0.651022315,0.697799265,-1.394663811,-0.323398888
IA,Mahaska County,-0.088081323,-0.650823176,-0.354014665,0.93502903,0.714120746,-0.15939264
IA,Marion County,-0.580414593,-0.161371186,0.306599677,0.812519372,0.652903557,0.49745515
IA,Marshall County,-0.260406852,-0.071287371,0.107066929,1.403965831,0.156497657,0.449601442
IA,Mills County,-0.501444936,-0.095802903,0.017570915,0.344634116,-1.388738155,-0.147399411
IA,Mitchell County,0.054084059,-0.764381886,0.07293494,1.282161474,-1.381790638,-0.300013304
IA,Monona County,0.176658228,-1.421419024,-0.298323005,1.168987036,0.364181638,-0.57707417
IA,Monroe County,0.326344103,-0.730229676,-0.604180038,0.38373062,-1.390472889,-0.93646425
IA,Montgomery County,0.211920246,-1.195823669,-0.386096656,0.7342453,-1.391406536,-0.954386115
IA,Muscatine County,-0.335653335,-0.24174428,-0.328459829,1.24374187,0.770679593,0.195336282
IA,O'Brien County,0.029446125,-1.209526658,0.847198784,0.837655127,-1.389044404,-0.209384307
IA,Osceola County,0.561469078,-0.238582462,-0.608205318,1.442653656,-1.388385296,-0.434044987
IA,Page County,0.156116873,-1.259719729,-0.647006214,0.721264422,-1.383731604,-1.131295323
IA,Palo Alto County,0.248968452,-1.576870799,-0.844776571,1.630330324,-1.392053008,-1.190842748
IA,Plymouth County,-0.376387924,-0.262084991,-0.508232474,1.212208033,0.450463891,0.019257028
IA,Pocahontas County,0.475955367,-1.44114399,-0.326121598,1.193783522,0.349673986,-0.638823092
IA,Polk County,-1.736542106,-0.137285203,-0.934987962,0.704149604,0.690970063,-0.06533505
IA,Pottawattamie County,-0.449031472,0.321563125,0.845202446,0.775181472,0.768559039,1.055181265
IA,Poweshiek County,-0.379918784,-0.462367982,0.625232279,0.807091057,-1.390031934,0.106818229
IA,Ringgold County,0.513345063,-1.316619873,-0.089727119,0.239356741,-1.37894094,-1.015126467
IA,Sac County,0.083750352,-0.895451605,-1.285530686,1.261836171,-1.390313745,-1.152783632
IA,Scott County,-1.364130616,-0.06037521,-1.00774157,1.321853757,0.960371256,0.095875353
IA,Shelby County,0.043425687,-1.327232003,1.571471691,0.952349424,0.248938128,0.475813866
IA,Sioux County,-0.390634447,-0.308819711,-0.852643788,1.637631059,0.372756124,-0.10412474
IA,Story County,-2.274053574,-0.265830219,-0.490694433,1.429109097,-1.391230345,-0.014859986
IA,Tama County,0.06704846,-0.700414002,0.275546461,0.965318859,-1.389861107,-0.235985011
IA,Taylor County,0.625153601,-0.930047631,-0.24385266,0.706117392,-1.389933944,-0.793354988
IA,Union County,0.283545822,-1.470638514,-1.207009673,0.657602787,-1.380254745,-1.594237566
IA,Van Buren County,0.436572611,-0.486347377,-0.677084982,0.60511893,-1.39029038,-0.805472314
IA,Wapello County,0.114652351,-0.756721854,-0.14341642,0.499466181,-1.378959775,-0.628771663
IA,Warren County,-1.150309443,0.5164361,0.30955261,0.787871122,-1.388895869,0.543362319
IA,Washington County,-0.396687835,-0.561194003,0.183953211,1.243090391,0.919790685,0.352826387
IA,Wayne County,0.942858636,-1.042530894,0.138172969,0.729332864,-1.379906178,-0.669569254
IA,Webster County,-0.258552909,-0.657159209,-1.031833649,1.086131215,-1.386826634,-0.88194865
IA,Winnebago County,-0.294575065,-1.457967162,-0.023387508,1.179513574,0.801201463,-0.293609351
IA,Winneshiek County,-0.730206013,-0.529305577,-0.082521245,0.793323874,0.250200361,0.019614151
IA,Woodbury County,-0.403458714,-0.427148372,-0.256397218,1.137528062,0.781318367,0.12120761
IA,Worth County,0.223587319,-0.164680779,0.304785609,1.142814398,0.689739645,0.481853724
IA,Wright County,0.190181836,-1.489552975,-0.242071763,1.317345858,-1.386379242,-0.873956442
KS,Allen County,0.098711088,-1.054742575,-0.509160101,0.666568041,-1.387488484,-0.951361716
KS,Anderson County,0.583826661,-0.482134849,0.055263106,0.662836194,-1.391527057,-0.391402811
KS,Atchison County,0.136520982,-0.671412289,-0.380236447,0.687436461,-1.383636475,-0.673224986
KS,Barber County,0.574945033,-2.129424334,0.267076403,0.22904034,-1.394927382,-1.257817984
KS,Barton County,-0.036631387,-1.210325837,-1.26787293,0.963238001,-1.390303373,-1.371508956
KS,Bourbon County,0.23281306,-0.62405622,-0.637801468,0.025084464,-1.389751434,-0.97955811
KS,Brown County,0.53131789,-1.400851607,0.160725251,0.990620792,-1.386348486,-0.726923227
KS,Butler County,-0.766411543,0.282811224,-0.465261072,0.326187611,-1.38465929,-0.19012177
KS,Chase County,0.82184428,-0.430444479,0.19687216,-0.114386663,-1.3924371,-0.515738487
KS,Chautauqua County,0.71346724,-1.06518352,-1.00470531,-0.743036568,-1.392360091,-1.684551954
KS,Cherokee County,0.772593915,-0.376351953,-0.619624853,0.485516876,-1.398331046,-0.790758908
KS,Cheyenne County,0.680371881,-1.717610717,0.139616638,0.706907868,-1.384907126,-0.999814868
KS,Clark County,0.465565115,-1.866115212,-1.480503798,0.362363935,-1.389598727,-2.061773062
KS,Clay County,0.234254032,-1.12968719,-1.731934547,0.840205312,-1.390215755,-1.659757137
KS,Cloud County,0.864254951,-1.834746361,-0.553004384,0.764879644,-1.389522195,-1.465783834
KS,Coffey County,0.050109401,-1.101794958,-0.788553655,0.249200448,-1.38873744,-1.237037063
KS,Comanche County,0.956243396,-2.448155642,-0.652068079,-0.285953403,-1.393707275,-2.132596016
KS,Cowley County,0.043259781,-0.313741505,-1.673054934,0.28544727,-1.397473574,-1.312638402
KS,Crawford County,-0.524013817,-0.585817039,0.025046101,0.826314688,-1.39791739,-0.277685374
KS,Decatur County,0.532760322,-2.161155462,0.22777842,0.635976315,-1.388588309,-1.185065985
KS,Dickinson County,0.177245229,-0.891765475,-1.131309748,0.82482475,-1.390243053,-1.188376665
KS,Doniphan County,0.304964274,-0.318991333,-0.261221349,1.079795241,-1.391406298,-0.340339333
KS,Douglas County,-2.192483902,-0.367125958,-0.136439577,0.419550091,-1.384423733,-0.137742251
KS,Edwards County,0.681307018,-1.032567739,0.684564888,1.134575725,-1.392806292,-0.217018336
KS,Elk County,1.217223287,-0.833427727,-1.132841706,-0.303957731,-1.392157435,-1.58657515
KS,Ellis County,-0.83124584,-1.327294946,-0.689317644,0.575689375,-1.390262008,-1.100985527
KS,Ellsworth County,0.541092038,-1.300656676,-0.733966053,0.280245632,-1.387539744,-1.367617846
KS,Finney County,0.094379067,-0.514429033,-1.041184306,0.974449694,-1.386845946,-0.886485696
KS,Ford County,0.366897494,-0.490689218,-0.335872144,0.904252291,-1.389073372,-0.527066648
KS,Franklin County,-0.292175174,-0.171395794,-0.774266064,0.921128035,-1.38586688,-0.515518486
KS,Geary County,-0.242822826,-0.239851475,-0.010486791,0.092058167,-1.387912393,-0.338878244
KS,Gove County,0.597935498,-2.390629768,0.062350571,0.769086063,-1.385818601,-1.374619126
KS,Graham County,0.650192082,-2.045958757,-1.383351207,0.368832707,-1.387386799,-2.124142408
KS,Grant County,0.494827181,-1.162504554,-1.265695572,0.969573498,-1.387354136,-1.412185431
KS,Gray County,0.106802285,-0.576985836,-0.705269337,0.986594021,-1.388342142,-0.727492511
KS,Greeley County,0.390311778,-2.230686426,-1.177862287,1.024672151,-1.384695172,-1.901332974
KS,Greenwood County,0.815701604,-1.078422189,-1.367634892,-0.292715281,-1.386548758,-1.793753982
KS,Hamilton County,0.788593113,-1.817008615,-0.581240177,0.767388105,-1.382500887,-1.460548401
KS,Harper County,0.52755779,-1.406117201,-1.32797277,0.506017148,-1.396197677,-1.702854872
KS,Harvey County,-0.504380703,-0.474869937,-0.945273578,0.800760388,-1.397277594,-0.779500902
KS,Haskell County,0.858301878,-0.544150531,0.402174294,1.168661118,-1.386886358,-0.131313264
KS,Hodgeman County,0.466491342,-0.6665622,-1.136434078,0.847120583,-1.390309811,-1.103722811
KS,Jackson County,-0.031272035,-0.17623803,-1.24085474,0.489252269,-1.381544948,-0.928391039
KS,Jefferson County,-0.395203024,0.277488917,-0.080710262,0.779167831,-1.392275333,0.092864089
KS,Jewell County,0.848481834,-1.266620517,-0.029738881,0.563923895,-1.391434073,-0.916698635
KS,Johnson County,-2.895200968,0.324617177,-1.258631349,0.342258394,-1.39380157,-0.338122994
KS,Kearny County,0.935860515,-0.685935259,1.149791002,0.792334497,-1.386950374,0.110953249
KS,Kingman County,0.3349922,-0.61065197,-0.930440724,0.635881007,-1.397015452,-0.995588541
KS,Kiowa County,0.337594211,-2.140121222,-0.479749054,0.925891995,-1.390028358,-1.475939393
KS,Labette County,0.271503836,-0.830553651,-1.54161942,0.669778764,-1.391273141,-1.441770911
KS,Lane County,0.698397517,-1.955630183,0.154294804,0.70840174,-1.386865854,-1.120265007
KS,Leavenworth County,-0.900983036,0.65590626,-1.470111728,0.298558563,-1.386363745,-0.553103328
KS,Lincoln County,0.837954462,-1.339013577,0.74022752,0.738172591,-1.391470432,-0.470937937
KS,Linn County,0.203378692,-0.264876217,-1.187733889,0.241328567,-1.389255524,-1.041541696
KS,Logan County,0.333001584,-2.236263275,-0.363657832,0.516132116,-1.385511279,-1.565535426
KS,Lyon County,-0.085357025,-0.806541681,-1.363111734,0.66632241,-1.386223316,-1.280784845
KS,McPherson County,-0.490176439,-0.585104644,0.024793578,0.855180204,-1.395150661,-0.273890615
KS,Marion County,0.287922382,-0.886999488,-0.015163818,0.827380538,-1.387423038,-0.56451273
KS,Marshall County,0.411445707,-1.517778873,-0.748149633,0.850583851,-1.390164375,-1.327067614
KS,Meade County,0.712122262,-0.675721705,-0.558124423,0.874140918,-1.38739109,-0.804365814
KS,Miami County,-0.576775014,0.357546985,-1.319250941,0.133235246,-1.387100935,-0.7111426
KS,Mitchell County,-0.036236811,-2.156196356,0.049753502,0.807868719,-1.38386035,-1.163882732
KS,Montgomery County,0.246590808,-0.698515415,-0.943533003,0.584208727,-1.39409709,-1.050964952
KS,Morris County,0.446850449,-0.993950844,0.441453904,0.613161504,-1.383696914,-0.437200636
KS,Morton County,0.625098109,-1.381000996,-0.578587949,0.562940717,-1.387233853,-1.25977695
KS,Nemaha County,0.184423715,-1.236503124,-1.294601083,1.038528085,-1.391603947,-1.410300136
KS,Neosho County,0.50949198,-1.141258001,-0.596046269,0.208462641,-1.390888691,-1.219575167
KS,Ness County,0.688649893,-1.961664081,0.052478082,0.467674643,-1.385050058,-1.242003322
