State,Area name,"Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
AZ,Pinal County,14.2,29.3,37.0,19.5
AZ,Santa Cruz County,23.4,28.7,27.5,20.4
AZ,Yavapai County,9.0,25.8,39.3,25.9
AZ,Yuma County,26.7,25.7,32.5,15.0
AR,Arkansas,13.4,34.0,29.5,23.0
AR,Arkansas County,16.1,38.9,29.2,15.8
AR,Ashley County,16.7,43.7,27.3,12.3
AR,Baxter County,11.3,36.3,34.5,17.9
AR,Benton County,11.4,29.2,26.1,33.4
AR,Boone County,12.6,33.4,37.9,16.1
AR,Bradley County,19.0,41.3,25.4,14.3
AR,Calhoun County,15.8,44.7,28.1,11.4
AR,Carroll County,13.7,35.9,29.1,21.2
AR,Chicot County,19.2,38.1,26.8,15.9
AR,Clark County,10.0,30.2,33.1,26.6
AR,Clay County,17.5,41.9,28.0,12.6
AR,Cleburne County,14.1,42.8,27.6,15.5
AR,Cleveland County,10.4,46.6,26.8,16.2
AR,Columbia County,14.1,41.7,24.5,19.6
AR,Conway County,13.0,43.8,27.6,15.6
AR,Craighead County,10.7,34.6,28.5,26.2
AR,Crawford County,15.0,37.3,31.7,16.0
AR,Crittenden County,17.4,34.8,30.4,17.4
AR,Cross County,16.4,41.5,27.7,14.4
AR,Dallas County,16.1,44.1,28.0,11.9
AR,Desha County,18.9,44.6,22.4,14.1
AR,Drew County,13.1,35.3,28.8,22.8
AR,Faulkner County,8.2,30.5,30.8,30.6
AR,Franklin County,16.3,41.0,30.6,12.1
AR,Fulton County,14.4,35.8,37.5,12.2
AR,Garland County,10.9,31.4,36.0,21.6
AR,Grant County,9.2,43.8,28.3,18.7
AR,Greene County,11.8,45.9,26.2,16.2
AR,Hempstead County,17.4,36.8,30.7,15.1
AR,Hot Spring County,14.2,39.0,33.5,13.3
AR,Howard County,14.8,38.4,33.3,13.6
AR,Independence County,14.0,37.6,30.9,17.5
AR,Izard County,16.2,38.0,32.7,13.1
AR,Jackson County,19.8,42.5,27.5,10.1
AR,Jefferson County,13.9,38.9,29.3,18.0
AR,Johnson County,21.1,40.7,22.9,15.4
AR,Lafayette County,20.3,40.2,23.7,15.8
AR,Lawrence County,15.9,38.6,30.1,15.4
AR,Lee County,24.2,40.4,24.7,10.7
AR,Lincoln County,18.9,47.3,24.1,9.7
AR,Little River County,11.0,44.7,31.8,12.5
AR,Logan County,13.8,45.1,27.8,13.3
AR,Lonoke County,10.9,36.7,31.8,20.6
AR,Madison County,19.4,43.9,22.6,14.2
AR,Marion County,13.5,37.5,31.9,17.1
AR,Miller County,13.5,35.3,34.4,16.8
AR,Mississippi County,18.9,38.8,28.5,13.8
AR,Monroe County,21.1,41.3,24.9,12.7
AR,Montgomery County,20.2,36.4,29.9,13.5
AR,Nevada County,9.6,43.0,32.8,14.6
AR,Newton County,13.5,35.4,30.6,20.5
AR,Ouachita County,14.0,41.6,30.0,14.5
AR,Perry County,15.2,41.7,30.5,12.7
AR,Phillips County,19.7,31.9,34.6,13.8
AR,Pike County,12.6,38.1,32.0,17.3
AR,Poinsett County,19.7,43.1,26.2,11.1
AR,Polk County,15.1,36.5,34.3,14.1
AR,Pope County,15.5,35.2,26.5,22.8
AR,Prairie County,16.8,39.9,27.8,15.4
AR,Pulaski County,9.6,26.0,30.1,34.3
AR,Randolph County,17.1,36.1,32.9,13.8
AR,St. Francis County,18.1,37.6,33.9,10.4
AR,Saline County,9.4,31.4,32.6,26.7
AR,Scott County,20.9,40.8,29.1,9.3
AR,Searcy County,18.2,40.2,29.7,11.9
AR,Sebastian County,15.9,31.0,31.7,21.3
AR,Sevier County,23.5,37.5,26.3,12.8
AR,Sharp County,16.5,40.9,32.4,10.2
AR,Stone County,18.8,34.9,32.4,13.9
AR,Union County,15.1,35.5,28.3,21.1
AR,Van Buren County,14.9,42.6,28.0,14.5
AR,Washington County,15.0,25.7,26.0,33.3
AR,White County,15.6,39.3,24.2,20.9
AR,Woodruff County,18.3,43.8,23.9,14.0
AR,Yell County,21.8,40.0,25.3,12.8
CA,California,16.7,20.5,28.9,33.9
CA,Alameda County,11.6,17.6,23.5,47.4
CA,Alpine County,8.8,28.1,28.6,34.5
CA,Amador County,10.0,27.5,43.3,19.3
CA,Butte County,10.8,22.5,39.5,27.2
CA,Calaveras County,9.8,28.0,43.9,18.3
CA,Colusa County,28.7,26.2,30.0,15.0
CA,Contra Costa County,10.5,17.3,29.9,42.4
CA,Del Norte County,19.9,31.0,34.2,14.8
CA,El Dorado County,6.6,21.3,37.9,34.3
CA,Fresno County,24.0,22.7,32.1,21.2
CA,Glenn County,25.2,27.2,33.4,14.2
CA,Humboldt County,9.5,22.2,37.9,30.4
CA,Imperial County,30.3,24.3,30.2,15.2
CA,Inyo County,11.4,28.6,32.8,27.2
CA,Kern County,25.9,27.8,29.9,16.4
CA,Kings County,26.6,25.3,33.4,14.7
CA,Lake County,14.2,30.5,39.7,15.5
CA,Lassen County,16.8,34.5,35.7,12.9
CA,Los Angeles County,20.9,20.6,26.0,32.5
CA,Madera County,28.1,24.9,32.5,14.6
CA,Marin County,6.7,10.5,23.3,59.5
CA,Mariposa County,9.4,24.4,41.7,24.6
CA,Mendocino County,13.5,25.0,37.1,24.4
CA,Merced County,30.9,25.3,30.1,13.8
CA,Modoc County,15.2,33.0,36.6,15.2
CA,Mono County,11.4,24.2,35.5,28.8
CA,Monterey County,28.5,20.3,26.5,24.7
CA,Napa County,14.5,17.8,32.0,35.7
CA,Nevada County,5.6,18.4,38.8,37.2
CA,Orange County,14.5,17.2,27.7,40.6
CA,Placer County,5.5,18.0,36.8,39.7
CA,Plumas County,4.9,26.1,45.3,23.7
CA,Riverside County,18.0,26.9,32.9,22.3
CA,Sacramento County,12.3,22.4,34.5,30.9
CA,San Benito County,19.5,24.8,36.0,19.7
CA,San Bernardino County,20.0,26.3,32.7,21.0
CA,San Diego County,12.6,18.2,30.4,38.8
CA,San Francisco County,11.5,12.1,18.4,58.1
CA,San Joaquin County,20.7,28.3,32.2,18.8
CA,San Luis Obispo County,8.7,19.9,36.0,35.4
CA,San Mateo County,10.4,14.9,23.8,51.0
CA,Santa Barbara County,19.1,17.8,29.0,34.2
CA,Santa Clara County,11.6,14.1,21.9,52.4
CA,Santa Cruz County,13.7,15.5,30.0,40.8
CA,Shasta County,8.9,25.4,43.5,22.2
CA,Sierra County,7.6,31.7,42.8,17.9
CA,Siskiyou County,9.8,25.5,41.6,23.2
CA,Solano County,11.6,23.8,37.7,26.9
CA,Sonoma County,11.2,18.7,34.5,35.5
CA,Stanislaus County,21.1,29.3,32.5,17.1
CA,Sutter County,21.8,23.3,36.6,18.2
CA,Tehama County,15.5,30.1,38.7,15.7
CA,Trinity County,7.6,34.8,38.0,19.5
CA,Tulare County,29.2,25.5,30.7,14.6
CA,Tuolumne County,9.3,28.3,41.9,20.5
CA,Ventura County,15.0,19.2,32.1,33.8
CA,Yolo County,13.5,18.1,27.0,41.4
CA,Yuba County,17.7,23.6,41.6,17.1
CO,Colorado,8.3,21.4,29.5,40.9
CO,Adams County,16.2,28.6,30.9,24.3
CO,Alamosa County,13.1,28.5,33.3,25.0
CO,Arapahoe County,7.4,20.8,29.0,42.8
CO,Archuleta County,7.7,21.0,34.2,37.2
CO,Baca County,13.8,28.0,36.8,21.4
CO,Bent County,15.2,48.7,24.6,11.4
CO,Boulder County,5.0,11.7,21.2,62.1
CO,Broomfield County,3.1,14.5,26.7,55.7
CO,Chaffee County,6.5,27.0,32.7,33.8
CO,Cheyenne County,8.4,36.8,35.7,19.2
CO,Clear Creek County,1.4,21.9,28.7,48.1
CO,Conejos County,12.0,33.9,33.0,21.0
CO,Costilla County,19.0,24.5,37.2,19.3
CO,Crowley County,13.9,42.6,34.5,9.0
CO,Custer County,6.4,20.8,40.3,32.5
CO,Delta County,9.3,38.3,30.7,21.7
CO,Denver County,12.0,16.8,21.7,49.4
CO,Dolores County,6.2,36.2,33.5,24.1
CO,Douglas County,1.9,12.0,28.1,58.0
CO,Eagle County,11.7,15.2,25.9,47.2
CO,Elbert County,3.3,24.1,36.8,35.8
CO,El Paso County,5.8,20.4,35.3,38.5
CO,Fremont County,9.9,39.3,32.3,18.5
CO,Garfield County,11.9,27.0,30.1,31.0
CO,Gilpin County,1.5,21.4,37.5,39.6
CO,Grand County,5.4,26.8,29.8,38.0
CO,Gunnison County,2.6,15.9,25.3,56.2
CO,Hinsdale County,6.3,22.8,25.3,45.7
CO,Huerfano County,7.6,29.6,41.6,21.1
CO,Jackson County,12.6,28.1,39.2,20.0
CO,Jefferson County,5.5,20.3,29.1,45.2
CO,Kiowa County,4.3,35.6,38.7,21.4
CO,Kit Carson County,10.5,37.6,33.2,18.7
CO,Lake County,16.3,25.8,25.6,32.3
CO,La Plata County,4.5,20.0,31.3,44.2
CO,Larimer County,4.1,19.0,29.6,47.3
CO,Las Animas County,12.1,29.5,38.8,19.5
CO,Lincoln County,9.1,54.5,23.9,12.6
CO,Logan County,10.4,33.7,35.6,20.2
CO,Mesa County,9.5,27.6,34.7,28.2
CO,Mineral County,2.6,15.8,35.2,46.5
CO,Moffat County,11.3,38.8,32.4,17.6
CO,Montezuma County,10.0,29.3,31.2,29.6
CO,Montrose County,11.0,31.4,32.4,25.2
CO,Morgan County,21.1,31.3,30.1,17.5
CO,Otero County,12.8,31.9,36.7,18.6
CO,Ouray County,2.2,15.9,34.1,47.8
CO,Park County,2.3,30.9,37.0,29.8
CO,Phillips County,11.5,33.1,31.6,23.8
CO,Pitkin County,3.1,17.0,19.1,60.8
CO,Prowers County,19.5,26.1,36.1,18.3
CO,Pueblo County,10.3,29.1,38.8,21.8
CO,Rio Blanco County,8.1,31.5,37.6,22.7
CO,Rio Grande County,13.0,32.1,30.5,24.5
CO,Routt County,3.2,20.2,26.8,49.8
CO,Saguache County,16.9,30.5,30.4,22.1
CO,San Juan County,6.2,25.8,32.4,35.7
CO,San Miguel County,3.2,15.3,22.1,59.4
CO,Sedgwick County,13.0,29.1,38.4,19.5
CO,Summit County,7.1,18.0,22.6,52.4
CO,Teller County,2.8,23.2,36.3,37.7
CO,Washington County,8.1,34.5,42.0,15.4
CO,Weld County,11.9,27.3,33.2,27.5
CO,Yuma County,11.4,34.4,32.4,21.8
CT,Connecticut,9.4,26.9,24.5,39.3
CT,Fairfield County,10.0,21.5,20.6,47.9
CT,Hartford County,10.3,26.6,25.0,38.1
CT,Litchfield County,7.0,29.9,27.7,35.4
CT,Middlesex County,5.8,25.8,26.2,42.2
CT,New Haven County,9.9,30.7,24.4,35.0
CT,New London County,7.7,29.5,29.5,33.3
CT,Tolland County,5.0,27.0,26.2,41.8
CT,Windham County,11.6,33.2,30.9,24.3
DE,Delaware,10.0,31.3,26.7,32.0
DE,Kent County,12.6,32.9,30.8,23.7
DE,New Castle County,8.4,30.8,24.6,36.2
DE,Sussex County,11.9,31.2,28.7,28.3
DC,District of Columbia,9.1,16.8,15.5,58.5
DC,District of Columbia,9.1,16.8,15.5,58.5
FL,Florida,11.8,28.6,29.7,29.9
FL,Alachua County,7.4,21.2,28.1,43.3
FL,Baker County,14.3,42.6,29.9,13.2
FL,Bay County,9.3,31.0,35.9,23.7
FL,Bradford County,20.4,40.4,29.4,9.9
FL,Brevard County,7.8,28.3,33.8,30.2
FL,Broward County,11.0,27.3,29.2,32.4
FL,Calhoun County,23.1,41.6,25.8,9.5
FL,Charlotte County,9.4,34.6,32.6,23.4
FL,Citrus County,11.6,37.2,32.9,18.3
FL,Clay County,8.2,31.0,35.8,24.9
FL,Collier County,12.9,25.8,24.9,36.4
FL,Columbia County,13.9,36.7,34.6,14.9
FL,DeSoto County,26.5,43.8,18.2,11.5
FL,Dixie County,21.6,43.3,24.8,10.4
FL,Duval County,10.2,27.8,31.9,30.0
FL,Escambia County,9.5,27.2,36.7,26.5
FL,Flagler County,7.8,34.3,32.8,25.1
FL,Franklin County,19.3,34.6,27.3,18.8
FL,Gadsden County,20.2,36.2,27.4,16.2
FL,Gilchrist County,14.6,42.1,29.9,13.4
FL,Glades County,25.5,38.2,25.1,11.2
FL,Gulf County,14.5,35.8,30.4,19.2
FL,Hamilton County,27.0,45.4,19.8,7.9
FL,Hardee County,22.8,49.1,17.8,10.2
FL,Hendry County,33.7,33.7,24.3,8.3
FL,Hernando County,12.1,35.2,34.2,18.4
FL,Highlands County,14.3,38.8,29.8,17.2
FL,Hillsborough County,11.3,27.1,28.0,33.5
FL,Holmes County,21.3,40.7,27.3,10.7
FL,Indian River County,10.6,30.4,29.8,29.1
FL,Jackson County,19.5,38.4,29.5,12.6
FL,Jefferson County,18.0,34.7,25.0,22.3
FL,Lafayette County,24.7,38.9,24.6,11.8
FL,Lake County,10.5,32.1,33.4,24.0
FL,Lee County,11.6,31.0,29.2,28.2
FL,Leon County,6.5,19.0,28.3,46.2
FL,Levy County,15.1,41.1,31.6,12.2
FL,Liberty County,18.6,45.8,21.2,14.4
FL,Madison County,19.0,39.7,27.3,14.0
FL,Manatee County,10.3,30.1,29.9,29.8
