State,Area name,"Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
GA,Taliaferro County,29.0,46.2,16.8,8.1
GA,Tattnall County,24.2,38.1,24.5,13.2
GA,Taylor County,21.5,37.5,28.3,12.6
GA,Telfair County,29.7,47.2,14.4,8.6
GA,Terrell County,22.5,32.3,33.9,11.2
GA,Thomas County,15.1,31.5,28.6,24.7
GA,Tift County,18.1,34.7,29.1,18.1
GA,Toombs County,19.9,37.5,26.4,16.2
GA,Towns County,10.1,29.9,30.0,30.1
GA,Treutlen County,26.3,40.8,20.5,12.4
GA,Troup County,16.6,35.1,29.3,19.0
GA,Turner County,18.8,38.0,31.5,11.7
GA,Twiggs County,25.8,38.5,23.9,11.8
GA,Union County,11.0,34.0,32.5,22.5
GA,Upson County,17.7,38.4,30.5,13.4
GA,Walker County,18.0,35.2,30.1,16.6
GA,Walton County,13.1,36.0,29.1,21.7
GA,Ware County,18.6,39.2,27.0,15.2
GA,Warren County,26.8,39.8,21.1,12.3
GA,Washington County,18.7,44.7,24.3,12.3
GA,Wayne County,16.6,42.0,28.5,13.0
GA,Webster County,20.7,40.7,23.9,14.7
GA,Wheeler County,19.2,50.5,16.8,13.6
GA,White County,14.8,30.9,31.5,22.7
GA,Whitfield County,30.5,29.4,24.3,15.7
GA,Wilcox County,17.9,45.6,24.4,12.2
GA,Wilkes County,16.3,44.0,25.9,13.8
GA,Wilkinson County,15.6,50.3,23.3,10.9
GA,Worth County,17.1,42.7,29.2,11.0
HI,Hawaii,8.0,27.4,31.6,33.0
HI,Hawaii County,7.7,30.2,32.7,29.4
HI,Honolulu County,8.1,25.9,31.0,35.0
HI,Kalawao County,9.7,27.4,38.7,24.2
HI,Kauai County,7.5,30.0,33.3,29.2
HI,Maui County,8.0,31.3,33.5,27.2
ID,Idaho,9.2,27.4,35.8,27.6
ID,Ada County,4.8,22.4,34.3,38.5
ID,Adams County,9.8,34.9,34.2,21.2
ID,Bannock County,7.5,26.4,38.2,27.8
ID,Bear Lake County,6.5,38.4,36.2,18.9
ID,Benewah County,12.4,38.4,33.9,15.2
ID,Bingham County,10.8,31.3,36.6,21.2
ID,Blaine County,11.3,25.6,27.8,35.4
ID,Boise County,5.7,30.6,36.6,27.1
ID,Bonner County,9.2,29.8,37.2,23.8
ID,Bonneville County,8.0,25.4,35.2,31.3
ID,Boundary County,8.2,42.7,29.3,19.8
ID,Butte County,7.2,36.0,40.6,16.2
ID,Camas County,6.7,43.2,33.9,16.3
ID,Canyon County,14.9,32.1,34.4,18.7
ID,Caribou County,8.8,32.4,39.9,19.0
ID,Cassia County,16.4,29.8,35.3,18.6
ID,Clark County,40.2,28.0,19.6,12.2
ID,Clearwater County,9.6,35.5,37.1,17.9
ID,Custer County,10.6,28.6,36.4,24.4
ID,Elmore County,10.1,26.8,44.4,18.7
ID,Franklin County,9.7,37.8,34.8,17.7
ID,Fremont County,13.4,30.2,34.7,21.7
ID,Gem County,12.2,37.0,33.4,17.5
ID,Gooding County,20.9,35.0,26.9,17.2
ID,Idaho County,9.5,36.1,34.6,19.8
ID,Jefferson County,9.8,25.5,40.0,24.7
ID,Jerome County,22.8,30.6,30.5,16.1
ID,Kootenai County,6.8,27.2,40.7,25.2
ID,Latah County,4.2,19.7,30.7,45.4
ID,Lemhi County,7.9,30.3,38.9,22.9
ID,Lewis County,11.5,29.6,40.9,17.9
ID,Lincoln County,23.4,33.3,33.1,10.3
ID,Madison County,4.1,15.2,44.3,36.4
ID,Minidoka County,20.8,32.1,33.0,14.1
ID,Nez Perce County,8.0,32.1,37.0,22.9
ID,Oneida County,9.8,34.9,38.2,17.1
ID,Owyhee County,23.9,33.4,30.8,12.0
ID,Payette County,14.3,34.7,35.3,15.7
ID,Power County,20.8,32.7,31.4,15.1
ID,Shoshone County,13.8,37.0,37.7,11.5
ID,Teton County,6.2,16.6,36.2,41.0
ID,Twin Falls County,12.9,27.2,39.3,20.6
ID,Valley County,5.4,26.7,37.6,30.4
ID,Washington County,15.0,33.8,34.9,16.3
IL,Illinois,10.8,26.0,28.6,34.7
IL,Adams County,7.5,35.4,32.1,25.0
IL,Alexander County,13.5,40.7,32.9,12.9
IL,Bond County,10.8,33.1,33.3,22.9
IL,Boone County,13.8,34.8,27.9,23.5
IL,Brown County,17.0,37.5,31.4,14.1
IL,Bureau County,9.2,36.6,33.6,20.6
IL,Calhoun County,8.4,43.4,33.9,14.2
IL,Carroll County,8.8,38.1,33.5,19.5
IL,Cass County,16.0,43.1,25.8,15.1
IL,Champaign County,5.0,22.0,28.0,45.0
IL,Christian County,10.3,41.8,30.8,17.1
IL,Clark County,7.2,40.0,33.0,19.9
IL,Clay County,12.0,38.6,34.4,15.0
IL,Clinton County,9.9,31.9,35.9,22.3
IL,Coles County,8.6,30.5,34.9,26.0
IL,Cook County,12.9,23.1,25.2,38.8
IL,Crawford County,15.0,28.6,39.4,17.1
IL,Cumberland County,9.4,40.1,35.1,15.4
IL,DeKalb County,7.7,24.9,35.1,32.3
IL,De Witt County,8.5,37.8,32.5,21.3
IL,Douglas County,16.8,33.4,31.0,18.9
IL,DuPage County,7.0,18.2,25.4,49.4
IL,Edgar County,9.9,37.3,35.5,17.2
IL,Edwards County,8.0,34.5,43.5,13.9
IL,Effingham County,6.9,35.8,34.5,22.7
IL,Fayette County,16.2,40.2,32.4,11.3
IL,Ford County,9.6,35.5,33.6,21.4
IL,Franklin County,11.1,33.0,39.2,16.7
IL,Fulton County,11.4,34.5,36.6,17.6
IL,Gallatin County,13.1,39.8,36.3,10.9
IL,Greene County,9.4,47.6,30.2,12.8
IL,Grundy County,6.8,33.8,36.5,22.9
IL,Hamilton County,12.9,34.9,35.2,17.0
IL,Hancock County,6.6,36.6,35.9,21.0
IL,Hardin County,20.4,32.3,36.5,10.8
IL,Henderson County,8.8,41.7,31.2,18.3
IL,Henry County,8.8,33.7,34.2,23.3
IL,Iroquois County,10.5,39.8,33.8,15.9
IL,Jackson County,8.1,24.1,33.7,34.1
IL,Jasper County,10.2,39.1,34.1,16.6
IL,Jefferson County,12.6,30.6,38.9,17.9
IL,Jersey County,7.7,38.8,33.2,20.3
IL,Jo Daviess County,7.7,35.9,31.4,25.0
IL,Johnson County,17.8,31.6,34.7,16.0
IL,Kane County,15.4,22.7,28.7,33.1
IL,Kankakee County,11.8,34.4,33.0,20.8
IL,Kendall County,7.6,22.9,33.4,36.2
IL,Knox County,10.9,36.6,33.5,18.9
IL,Lake County,9.4,20.8,24.6,45.3
IL,La Salle County,11.4,35.6,35.1,17.8
IL,Lawrence County,15.1,34.7,35.3,14.9
IL,Lee County,11.2,33.8,36.8,18.2
IL,Livingston County,10.1,44.7,30.4,14.8
IL,Logan County,11.3,35.3,33.5,19.9
IL,McDonough County,6.4,31.2,30.1,32.2
IL,McHenry County,6.9,26.5,32.2,34.4
IL,McLean County,4.1,24.6,26.5,44.8
IL,Macon County,9.6,35.4,32.9,22.1
IL,Macoupin County,8.7,39.8,33.1,18.4
IL,Madison County,7.5,29.8,35.8,26.8
IL,Marion County,11.0,35.2,38.6,15.2
IL,Marshall County,7.1,39.4,34.6,18.9
IL,Mason County,10.8,42.8,30.4,16.0
IL,Massac County,13.2,33.6,39.3,13.9
IL,Menard County,5.9,35.8,34.3,24.0
IL,Mercer County,8.1,39.6,35.0,17.4
IL,Monroe County,4.0,27.6,33.3,35.0
IL,Montgomery County,12.3,39.3,31.7,16.7
IL,Morgan County,9.1,40.2,31.4,19.3
IL,Moultrie County,15.3,33.4,32.7,18.6
IL,Ogle County,9.8,33.4,35.4,21.4
IL,Peoria County,9.1,27.6,32.7,30.6
IL,Perry County,16.7,36.6,34.2,12.5
IL,Piatt County,6.1,33.9,31.4,28.6
IL,Pike County,11.3,38.7,32.2,17.8
IL,Pope County,14.0,36.0,36.9,13.1
IL,Pulaski County,11.2,36.3,40.0,12.5
IL,Putnam County,7.3,38.1,38.0,16.6
IL,Randolph County,15.7,37.3,33.7,13.3
IL,Richland County,10.9,29.9,38.2,21.0
IL,Rock Island County,11.4,29.5,35.6,23.5
IL,St. Clair County,8.9,28.1,34.9,28.0
IL,Saline County,13.3,27.5,40.0,19.2
IL,Sangamon County,7.5,27.2,30.8,34.5
IL,Schuyler County,10.6,35.6,33.4,20.4
IL,Scott County,6.5,47.7,29.9,15.8
IL,Shelby County,7.7,44.4,31.0,16.8
IL,Stark County,8.7,41.6,32.6,17.0
IL,Stephenson County,7.5,35.0,38.0,19.6
IL,Tazewell County,7.3,31.7,34.7,26.3
IL,Union County,11.6,35.4,31.2,21.7
IL,Vermilion County,11.5,41.2,32.5,14.7
IL,Wabash County,9.4,30.7,41.7,18.2
IL,Warren County,13.3,32.0,31.9,22.8
IL,Washington County,7.8,33.4,37.9,20.9
IL,Wayne County,12.1,34.9,37.7,15.4
IL,White County,10.1,37.4,37.1,15.5
IL,Whiteside County,9.4,37.7,34.6,18.2
IL,Will County,9.0,26.9,29.8,34.3
IL,Williamson County,7.7,31.1,36.9,24.3
IL,Winnebago County,12.3,31.7,33.1,22.9
IL,Woodford County,5.2,31.3,30.3,33.2
IN,Indiana,11.2,33.4,29.0,26.5
IN,Adams County,15.3,40.6,28.7,15.5
IN,Allen County,10.6,28.2,32.6,28.5
IN,Bartholomew County,9.4,30.8,26.3,33.5
IN,Benton County,10.1,42.8,30.9,16.1
IN,Blackford County,10.6,49.6,26.4,13.5
IN,Boone County,6.3,19.5,24.9,49.3
IN,Brown County,7.9,32.9,30.3,28.9
IN,Carroll County,11.6,40.8,31.0,16.7
IN,Cass County,14.6,39.9,32.1,13.3
IN,Clark County,10.6,34.6,33.7,21.2
IN,Clay County,8.6,43.8,30.6,17.0
IN,Clinton County,14.3,43.2,26.1,16.3
IN,Crawford County,19.6,45.9,24.2,10.3
IN,Daviess County,26.2,34.0,26.6,13.2
IN,Dearborn County,10.4,38.9,27.9,22.9
IN,Decatur County,9.1,44.0,26.3,20.6
IN,DeKalb County,9.8,42.2,30.0,18.0
IN,Delaware County,10.3,35.1,30.9,23.7
IN,Dubois County,10.7,38.3,27.2,23.7
IN,Elkhart County,19.2,34.7,26.3,19.8
IN,Fayette County,17.9,42.1,26.7,13.3
IN,Floyd County,9.2,30.9,30.3,29.6
IN,Fountain County,11.0,43.7,30.4,14.9
IN,Franklin County,12.7,42.5,23.7,21.1
IN,Fulton County,12.2,40.6,31.3,15.8
IN,Gibson County,8.1,40.9,33.0,18.0
IN,Grant County,12.8,40.5,28.9,17.9
IN,Greene County,12.1,41.1,31.9,14.9
IN,Hamilton County,3.2,14.9,22.5,59.3
IN,Hancock County,7.1,32.7,29.3,30.8
IN,Harrison County,11.6,39.6,30.1,18.7
IN,Hendricks County,6.0,27.5,29.5,37.0
IN,Henry County,10.7,43.7,29.1,16.4
IN,Howard County,10.5,35.9,32.0,21.6
IN,Huntington County,8.2,41.3,30.4,20.1
IN,Jackson County,12.7,41.9,28.7,16.7
IN,Jasper County,11.8,43.2,30.8,14.3
IN,Jay County,12.0,48.9,27.7,11.4
IN,Jefferson County,10.3,42.3,29.5,17.9
IN,Jennings County,12.2,45.8,30.0,12.0
IN,Johnson County,7.9,31.1,28.3,32.7
IN,Knox County,11.3,35.8,36.0,16.9
IN,Kosciusko County,14.3,34.8,27.5,23.3
IN,LaGrange County,38.2,30.5,20.8,10.5
IN,Lake County,11.3,35.1,31.0,22.6
IN,LaPorte County,11.5,39.6,30.9,18.0
IN,Lawrence County,11.7,42.3,30.2,15.8
IN,Madison County,11.6,39.4,30.6,18.4
IN,Marion County,13.9,28.0,27.2,30.9
IN,Marshall County,15.1,38.8,26.5,19.7
IN,Martin County,11.9,42.7,31.6,13.7
IN,Miami County,13.9,42.0,31.1,13.0
IN,Monroe County,7.3,22.2,24.8,45.7
IN,Montgomery County,10.2,41.3,30.3,18.2
IN,Morgan County,11.9,39.3,31.6,17.3
IN,Newton County,14.3,42.8,31.1,11.9
IN,Noble County,16.4,42.0,27.9,13.7
IN,Ohio County,12.4,43.1,29.8,14.7
IN,Orange County,16.8,46.6,25.7,10.9
IN,Owen County,14.6,44.4,27.9,13.1
IN,Parke County,13.8,40.5,33.7,12.0
IN,Perry County,9.7,44.7,29.5,16.1
IN,Pike County,13.2,41.7,30.9,14.1
IN,Porter County,6.4,35.0,30.1,28.4
IN,Posey County,6.6,38.2,33.3,21.9
IN,Pulaski County,11.5,46.1,29.7,12.8
IN,Putnam County,11.1,42.4,29.7,16.8
IN,Randolph County,12.5,43.4,29.7,14.3
IN,Ripley County,10.7,43.6,27.6,18.0
IN,Rush County,12.6,46.4,27.0,13.9
IN,St. Joseph County,11.5,30.7,28.2,29.6
IN,Scott County,16.8,43.5,27.7,12.0
IN,Shelby County,12.7,42.4,26.2,18.7
IN,Spencer County,9.5,46.0,29.2,15.2
IN,Starke County,15.1,42.1,30.9,11.9
IN,Steuben County,8.9,39.6,29.8,21.8
IN,Sullivan County,11.3,44.2,32.4,12.1
IN,Switzerland County,16.1,46.4,26.6,10.9
IN,Tippecanoe County,8.4,25.4,27.5,38.7
IN,Tipton County,10.7,40.8,23.8,24.7
IN,Union County,12.6,43.4,25.6,18.5
IN,Vanderburgh County,9.9,32.5,30.6,27.0
IN,Vermillion County,9.0,43.4,33.4,14.2
IN,Vigo County,11.6,32.0,31.2,25.1
IN,Wabash County,11.2,42.6,28.0,18.1
IN,Warren County,8.0,41.8,30.8,19.4
IN,Warrick County,6.8,31.3,31.7,30.3
IN,Washington County,15.0,43.1,28.5,13.4
IN,Wayne County,13.5,37.3,30.9,18.2
IN,Wells County,7.8,40.2,33.8,18.2
IN,White County,11.2,41.6,30.8,16.4
IN,Whitley County,8.2,39.2,31.9,20.7
IA,Iowa,7.9,31.0,32.5,28.6
IA,Adair County,5.8,40.5,35.2,18.5
IA,Adams County,6.2,39.1,39.1,15.6
IA,Allamakee County,11.7,39.4,31.1,17.8
IA,Appanoose County,9.8,36.5,37.3,16.3
IA,Audubon County,10.5,37.1,35.3,17.1
IA,Benton County,5.9,36.9,35.0,22.1
IA,Black Hawk County,8.6,30.5,31.8,29.1
IA,Boone County,6.1,31.5,37.1,25.3
IA,Bremer County,3.6,32.9,32.8,30.7
IA,Buchanan County,5.9,38.5,34.0,21.5
IA,Buena Vista County,21.6,30.3,28.4,19.7
IA,Butler County,7.5,38.0,37.3,17.3
IA,Calhoun County,6.2,38.0,37.1,18.7
IA,Carroll County,6.5,36.7,34.5,22.4
IA,Cass County,12.0,37.9,30.0,20.1
IA,Cedar County,4.4,37.6,35.8,22.2
IA,Cerro Gordo County,7.3,30.6,38.5,23.6
IA,Cherokee County,6.9,35.8,35.1,22.2
IA,Chickasaw County,7.2,43.6,32.0,17.2
IA,Clarke County,12.2,38.9,32.9,16.0
IA,Clay County,6.4,34.4,36.4,22.7
IA,Clayton County,10.1,43.2,29.0,17.7
IA,Clinton County,9.1,38.8,34.2,17.9
IA,Crawford County,19.8,37.4,28.5,14.3
IA,Dallas County,4.4,17.7,27.6,50.4
IA,Davis County,16.9,32.5,31.1,19.5
IA,Decatur County,10.9,37.5,26.6,25.0
IA,Delaware County,8.3,42.8,32.3,16.6
IA,Des Moines County,8.0,33.5,38.4,20.1
IA,Dickinson County,4.0,26.3,36.2,33.6
IA,Dubuque County,7.3,32.7,29.2,30.8
IA,Emmet County,9.3,32.8,39.0,18.8
IA,Fayette County,8.3,39.6,33.8,18.3
IA,Floyd County,9.9,35.4,34.9,19.8
IA,Franklin County,8.9,35.9,37.2,18.0
IA,Fremont County,7.9,33.6,39.6,18.9
IA,Greene County,6.6,39.7,35.1,18.7
IA,Grundy County,5.4,31.6,35.1,27.9
IA,Guthrie County,6.9,38.9,34.4,19.8
IA,Hamilton County,6.7,32.4,36.6,24.3
IA,Hancock County,6.7,36.3,33.2,23.8
IA,Hardin County,7.6,34.7,37.0,20.8
IA,Harrison County,8.5,37.2,34.9,19.5
IA,Henry County,7.4,36.0,36.9,19.6
IA,Howard County,9.1,40.0,35.1,15.8
IA,Humboldt County,7.2,37.0,34.6,21.2
IA,Ida County,6.8,38.8,35.8,18.6
IA,Iowa County,6.2,37.1,37.8,18.8
IA,Jackson County,7.4,42.0,31.4,19.2
IA,Jasper County,6.1,41.4,33.8,18.8
IA,Jefferson County,6.8,28.0,33.7,31.5
IA,Johnson County,5.1,16.3,25.9,52.8
IA,Jones County,7.7,39.6,33.3,19.5
IA,Keokuk County,7.1,40.4,34.2,18.3
IA,Kossuth County,6.1,37.4,39.0,17.5
IA,Lee County,7.0,40.8,35.7,16.4
IA,Linn County,5.5,27.0,34.3,33.1
IA,Louisa County,15.9,37.7,31.5,14.9
IA,Lucas County,7.9,41.3,33.8,17.0
IA,Lyon County,9.4,37.1,32.8,20.7
IA,Madison County,5.8,36.6,33.2,24.5
IA,Mahaska County,7.8,39.6,30.6,22.0
IA,Marion County,6.7,34.1,30.4,28.8
IA,Marshall County,16.2,34.2,30.8,18.8
IA,Mills County,7.2,34.1,34.6,24.1
IA,Mitchell County,8.2,38.4,34.3,19.0
IA,Monona County,7.7,38.3,38.7,15.3
IA,Monroe County,12.3,39.1,31.3,17.4
IA,Montgomery County,9.6,35.2,36.8,18.5
IA,Muscatine County,11.0,35.3,32.2,21.5
IA,O'Brien County,7.9,39.9,33.5,18.8
IA,Osceola County,11.6,36.6,34.0,17.9
IA,Page County,8.5,36.5,34.8,20.2
IA,Palo Alto County,7.3,29.2,38.0,25.5
IA,Plymouth County,6.9,33.9,36.1,23.2
IA,Pocahontas County,7.8,39.4,37.8,15.0
IA,Polk County,8.5,24.5,30.3,36.7
IA,Pottawattamie County,10.5,32.7,35.3,21.5
IA,Poweshiek County,6.1,37.9,29.9,26.1
IA,Ringgold County,7.3,36.9,34.5,21.4
IA,Sac County,7.2,36.9,35.9,20.0
IA,Scott County,7.2,29.6,31.4,31.8
IA,Shelby County,7.6,35.3,34.9,22.2
IA,Sioux County,9.8,30.2,31.0,29.1
IA,Story County,2.8,17.4,28.1,51.6
IA,Tama County,8.7,40.0,35.5,15.8
IA,Taylor County,9.8,38.5,37.2,14.5
IA,Union County,9.7,35.5,36.7,18.0
IA,Van Buren County,10.8,38.9,35.8,14.4
IA,Wapello County,11.9,34.9,34.4,18.8
IA,Warren County,4.6,30.8,32.7,31.9
IA,Washington County,8.6,39.3,30.3,21.8
IA,Wayne County,12.1,44.4,30.9,12.7
IA,Webster County,9.5,33.9,36.7,19.9
IA,Winnebago County,7.6,34.1,36.6,21.8
IA,Winneshiek County,4.8,33.0,31.6,30.6
IA,Woodbury County,12.9,32.2,31.8,23.1
IA,Worth County,6.7,36.4,39.4,17.5
IA,Wright County,7.6,36.9,38.2,17.2
KS,Kansas,9.0,25.9,31.7,33.4
KS,Allen County,8.1,33.1,38.5,20.3
KS,Anderson County,9.0,42.0,30.9,18.1
KS,Atchison County,7.3,38.4,32.3,22.0
KS,Barber County,8.9,33.7,36.7,20.7
KS,Barton County,10.5,32.0,36.6,20.9
KS,Bourbon County,8.7,31.5,38.2,21.7
KS,Brown County,6.8,37.4,34.7,21.2
KS,Butler County,7.5,25.9,36.9,29.8
KS,Chase County,8.2,29.1,37.3,25.5
KS,Chautauqua County,13.4,34.8,35.9,15.9
KS,Cherokee County,10.1,32.7,37.5,19.6
KS,Cheyenne County,6.4,30.9,33.8,28.9
KS,Clark County,5.2,27.2,41.5,26.1
KS,Clay County,7.1,35.2,31.0,26.7
KS,Cloud County,7.0,31.6,37.4,24.0
KS,Coffey County,7.3,32.1,36.1,24.5
KS,Comanche County,6.1,34.9,43.0,16.0
KS,Cowley County,9.3,29.9,39.0,21.8
KS,Crawford County,7.9,29.3,33.0,29.9
KS,Decatur County,6.0,35.4,36.1,22.5
KS,Dickinson County,8.5,33.2,35.4,22.9
KS,Doniphan County,9.7,36.8,32.4,21.1
KS,Douglas County,4.6,18.4,27.4,49.6
KS,Edwards County,14.6,28.2,39.1,18.1
KS,Elk County,11.5,42.6,30.3,15.6
KS,Ellis County,6.7,26.9,30.1,36.3
KS,Ellsworth County,8.4,34.3,37.8,19.5
KS,Finney County,29.0,22.2,31.8,17.1
KS,Ford County,26.4,25.3,30.6,17.7
KS,Franklin County,7.8,37.6,34.2,20.4
KS,Geary County,6.2,25.0,45.6,23.2
KS,Gove County,7.9,36.3,36.1,19.7
KS,Graham County,7.4,31.9,36.0,24.7
KS,Grant County,23.0,25.9,36.2,14.9
KS,Gray County,22.6,22.5,34.6,20.2
KS,Greeley County,13.0,26.9,33.0,27.2
KS,Greenwood County,7.6,36.3,36.2,19.9
KS,Hamilton County,19.2,39.9,22.2,18.7
KS,Harper County,10.4,39.1,34.3,16.2
KS,Harvey County,9.5,23.7,33.5,33.2
KS,Haskell County,27.6,19.3,36.0,17.1
KS,Hodgeman County,8.9,20.8,39.5,30.8
KS,Jackson County,5.4,39.0,35.3,20.2
KS,Jefferson County,6.5,39.7,30.6,23.2
KS,Jewell County,6.9,39.5,34.3,19.3
KS,Johnson County,4.0,14.5,25.5,56.0
KS,Kearny County,24.1,32.4,28.8,14.7
KS,Kingman County,6.4,33.0,36.2,24.4
KS,Kiowa County,11.8,27.1,33.0,28.1
KS,Labette County,10.2,31.8,39.3,18.7
KS,Lane County,5.7,31.9,39.4,23.1
KS,Leavenworth County,7.8,28.3,32.4,31.5
KS,Lincoln County,6.7,31.1,39.4,22.8
KS,Linn County,10.3,38.9,34.7,16.2
KS,Logan County,9.0,28.1,46.3,16.6
KS,Lyon County,11.7,29.3,31.5,27.5
KS,McPherson County,8.7,27.9,35.4,28.0
KS,Marion County,8.4,30.3,36.2,25.0
KS,Marshall County,7.8,42.2,31.1,18.9
KS,Meade County,19.3,26.4,34.0,20.3
KS,Miami County,4.0,31.8,34.4,29.8
KS,Mitchell County,5.2,30.4,38.4,26.1
KS,Montgomery County,11.2,29.2,40.1,19.5
KS,Morris County,8.8,36.1,33.7,21.4
KS,Morton County,16.0,28.0,38.7,17.3
KS,Nemaha County,5.8,39.8,29.0,25.4
KS,Neosho County,9.2,32.5,40.1,18.1
KS,Ness County,9.1,31.1,40.4,19.4
KS,Norton County,10.9,34.7,35.6,18.8
KS,Osage County,9.2,39.1,32.4,19.2
KS,Osborne County,6.1,34.6,35.7,23.6
KS,Ottawa County,5.1,35.4,35.1,24.5
KS,Pawnee County,9.4,33.1,38.0,19.6
KS,Phillips County,7.6,36.6,34.0,21.8
KS,Pottawatomie County,5.8,29.1,31.4,33.8
KS,Pratt County,7.9,24.9,36.9,30.3
KS,Rawlins County,4.2,29.8,41.9,24.1
KS,Reno County,11.5,27.7,39.9,20.9
KS,Republic County,4.1,34.5,35.9,25.5
KS,Rice County,8.4,29.3,39.5,22.8
KS,Riley County,4.2,19.1,31.1,45.6
KS,Rooks County,11.3,30.4,35.2,23.1
KS,Rush County,7.9,29.8,38.6,23.7
KS,Russell County,11.9,27.2,37.7,23.1
KS,Saline County,8.5,30.1,34.1,27.3
KS,Scott County,15.6,27.0,32.4,25.1
KS,Sedgwick County,10.4,26.3,32.4,30.9
KS,Seward County,33.7,28.7,26.6,11.0
KS,Shawnee County,7.8,31.4,29.9,30.9
KS,Sheridan County,3.9,34.1,40.0,22.0
KS,Sherman County,7.7,30.3,40.3,21.8
KS,Smith County,7.0,35.9,34.8,22.3
KS,Stafford County,9.3,29.3,36.1,25.2
KS,Stanton County,21.5,29.6,30.0,19.0
KS,Stevens County,21.8,25.8,38.7,13.7
KS,Sumner County,7.7,34.9,34.1,23.3
KS,Thomas County,6.7,26.4,44.3,22.6
KS,Trego County,6.8,31.1,37.3,24.8
KS,Wabaunsee County,4.6,34.9,36.3,24.2
KS,Wallace County,5.3,25.8,36.4,32.4
KS,Washington County,8.4,40.7,30.5,20.3
KS,Wichita County,13.4,27.5,38.5,20.6
KS,Wilson County,11.5,33.9,38.1,16.5
KS,Woodson County,9.3,35.2,38.3,17.2
KS,Wyandotte County,21.1,32.1,28.6,18.1
KY,Kentucky,13.7,32.9,29.2,24.2
KY,Adair County,20.4,39.0,24.9,15.7
KY,Allen County,17.9,38.5,27.5,16.1
KY,Anderson County,10.1,36.6,33.1,20.2
KY,Ballard County,12.8,36.4,34.8,15.9
KY,Barren County,17.0,42.0,24.7,16.3
KY,Bath County,23.1,41.2,21.2,14.5
KY,Bell County,30.4,38.5,22.0,9.2
KY,Boone County,6.9,27.5,33.5,32.1
KY,Bourbon County,16.0,35.6,28.9,19.4
KY,Boyd County,11.8,33.9,35.0,19.4
KY,Boyle County,12.9,33.5,28.5,25.2
KY,Bracken County,14.3,46.4,26.2,13.2
KY,Breathitt County,24.4,36.7,23.7,15.2
KY,Breckinridge County,15.9,44.9,27.2,11.9
KY,Bullitt County,11.5,41.6,32.1,14.7
KY,Butler County,20.4,42.9,22.8,13.9
KY,Caldwell County,13.0,45.0,26.7,15.3
KY,Calloway County,10.5,32.1,28.9,28.5
KY,Campbell County,9.2,28.2,26.2,36.3
KY,Carlisle County,16.7,40.4,28.0,14.9
KY,Carroll County,21.7,40.3,29.8,8.2
KY,Carter County,20.8,40.3,26.3,12.6
KY,Casey County,24.0,40.6,22.7,12.8
KY,Christian County,14.4,31.0,36.4,18.1
KY,Clark County,13.8,34.3,31.8,20.1
KY,Clay County,35.3,35.3,19.5,9.8
KY,Clinton County,26.8,39.8,23.2,10.3
KY,Crittenden County,16.2,42.0,28.8,13.1
KY,Cumberland County,18.2,43.0,25.4,13.3
KY,Daviess County,10.0,34.1,32.9,22.9
KY,Edmonson County,21.9,39.3,28.5,10.3
KY,Elliott County,25.0,43.4,21.9,9.7
KY,Estill County,24.4,45.8,20.0,9.9
KY,Fayette County,8.8,19.6,28.0,43.6
KY,Fleming County,20.4,40.3,26.5,12.9
KY,Floyd County,24.8,37.8,26.1,11.3
KY,Franklin County,11.0,31.3,27.8,29.9
KY,Fulton County,20.9,37.4,28.2,13.4
KY,Gallatin County,18.8,44.2,25.4,11.6
KY,Garrard County,19.0,37.1,26.4,17.6
KY,Grant County,13.4,47.4,26.3,12.9
KY,Graves County,12.6,39.5,30.6,17.4
KY,Grayson County,18.5,43.0,28.0,10.5
KY,Green County,24.5,37.8,24.5,13.2
KY,Greenup County,11.0,36.0,35.9,17.1
KY,Hancock County,14.6,43.4,30.6,11.4
KY,Hardin County,9.5,30.4,38.1,22.0
KY,Harlan County,27.2,34.6,27.4,10.8
KY,Harrison County,17.9,40.3,27.1,14.6
KY,Hart County,23.8,40.3,24.4,11.4
KY,Henderson County,13.1,36.0,32.7,18.2
KY,Henry County,14.9,41.2,30.8,13.1
KY,Hickman County,19.9,41.7,22.6,15.8
KY,Hopkins County,13.3,40.4,29.8,16.5
KY,Jackson County,25.4,42.7,18.1,13.8
KY,Jefferson County,9.4,26.7,30.5,33.4
KY,Jessamine County,12.7,30.5,27.3,29.5
KY,Johnson County,19.4,36.3,28.0,16.3
KY,Kenton County,10.1,28.7,29.5,31.7
KY,Knott County,24.9,33.7,26.5,14.9
KY,Knox County,26.5,38.0,21.3,14.2
KY,Larue County,16.0,39.2,32.4,12.4
KY,Laurel County,18.9,39.1,27.5,14.4
KY,Lawrence County,24.9,42.5,22.8,9.8
KY,Lee County,31.9,36.3,23.5,8.3
KY,Leslie County,28.7,41.9,20.8,8.7
KY,Letcher County,24.3,37.0,26.5,12.1
KY,Lewis County,24.2,42.8,24.0,9.1
KY,Lincoln County,20.1,42.7,24.2,13.0
KY,Livingston County,16.2,43.6,28.3,11.8
KY,Logan County,15.1,44.5,24.1,16.4
KY,Lyon County,12.2,41.1,29.8,16.9
KY,McCracken County,9.5,31.4,34.9,24.2
KY,McCreary County,23.4,40.9,28.4,7.2
