Player,PTS,salary_2017_in_millions
Isaiah Canaan,846,1322773
Evan Turner,854,17131148
Mike Conley,857,28530608
Tony Parker,857,15453126
Robert Covington,858,16698103
Rajon Rondo,859,6300000
Marc Gasol,861,22642350
Shabazz Muhammad,863,1577230
Otto Porter,871,24773250
Emmanuel Mudiay,872,3381480
Kent Bazemore,872,16910113
Dennis Schroder,879,15500000
Bojan Bogdanovic,887,10500000
George Hill,894,20000000
Shelvin Mack,896,6000000
Arron Afflalo,909,3828652
Luol Deng,911,17190000
Jeremy Lin,914,12000000
Deron Williams,918,5500000
Julius Randle,919,4149242
Jahlil Okafor,928,4995120
Gary Harris,932,2550055
D.J. Augustin,934,7250000
Marvin Williams,948,13168750
J.R. Smith,955,13760000
Bradley Beal,958,23775506
Mirza Teletovic,965,10500000
Dwight Howard,976,23500000
Wesley Matthews,977,17884176
DeAndre Jordan,980,22642350
Serge Ibaka,983,20061729
Chris Bosh,1010,25289390
Marcin Gortat,1012,12782609
Derrick Favors,1016,12000000
Brandon Knight,1018,13618750
Goran Dragic,1018,17000450
Trevor Ariza,1025,7420912
Kevin Martin,1028,1360305
Kristaps Porzingis,1028,4503600
Lou Williams,1028,7000000
Darren Collison,1035,10000000
Danilo Gallinari,1036,20559599
Enes Kanter,1038,20566802
Jae Crowder,1038,6796117
Hassan Whiteside,1040,23775506
Zach Randolph,1040,12307692
Kyrie Irving,1041,18868625
Nicolas Batum,1046,22434783
Devin Booker,1048,2319360
D'Angelo Russell,1054,5562360
Jabari Parker,1070,6782392
Derrick Rose,1080,2116955
Jrue Holiday,1089,25686667
Thaddeus Young,1102,14796348
Kentavious Caldwell-Pope,1105,17745894
Jamal Crawford,1120,15270762
Monta Ellis,1121,2245400
Ryan Anderson,1124,19578455
Draymond Green,1131,16400000
Marcus Morris,1131,5000000
Lance Stephenson,1146,4180000
Rodney Hood,1149,2386864
Zach LaVine,1150,3202217
Victor Oladipo,1153,21000000
Avery Bradley,1155,8808989
Will Barton,1178,3533333
Marcus Thornton,1180,46080
Nikola Vucevic,1181,12250000
Pau Gasol,1187,16000000
Rudy Gay,1204,8406000
Greg Monroe,1210,22884176
Evan Fournier,1213,17000000
Jordan Clarkson,1225,11562500
J.J. Redick,1226,23000000
Kevin Love,1234,22642350
Jeff Teague,1239,19000000
Al Horford,1249,27734405
Mario Chalmers,1256,2106407
Andre Drummond,1314,23775506
LaMarcus Aldridge,1331,21461010
Giannis Antetokounmpo,1350,22471910
Dirk Nowitzki,1372,5000000
Paul Millsap,1385,31269231
Jimmy Butler,1399,19301070
Dwyane Wade,1409,17878652
Khris Middleton,1434,14100000
Chris Paul,1446,24599495
Anthony Davis,1481,23775506
Reggie Jackson,1489,16000000
Brook Lopez,1501,22642350
Karl-Anthony Towns,1503,6216840
Courtney Lee,1522,11747890
Kawhi Leonard,1523,18868625
Markieff Morris,1530,8000000
John Wall,1531,18063850
Ersan Ilyasova,1534,6502328
Carmelo Anthony,1573,26243760
Gordon Hayward,1578,29727900
Kyle Lowry,1634,28703704
C.J. McCollum,1666,23962573
Andrew Wiggins,1675,7574322
Kemba Walker,1689,12000000
DeMarcus Cousins,1748,18063850
Klay Thompson,1771,17826150
Isaiah Thomas,1823,6261395
DeMar DeRozan,1830,27739975
Paul George,1874,19508958
Jeff Green,1878,2116955
Russell Westbrook,1878,28530608
Damian Lillard,1879,26153057
LeBron James,1920,33285709
Ish Smith,1944,6000000
Joe Johnson,1984,10254905
Kevin Durant,2029,25000000
Tobias Harris,2232,16000000
Stephen Curry,2375,34682550
James Harden,2376,28299399
