New Hampshire,New England,Northeast,6.9771,6.9382,7.1871,6.9016,6.8,7.1,7.3,6.5,6.8,7.1,7.2,7.3,8,8.1,8.3,8.5,9.4,7.9,8.3,9.5
New Jersey,Middle Atlantic,Northeast,5.6548,5.606,5.4031,5.1308,4.9,4.8,5.1,5,5.4,5.4,5.5,5.7,5.9,5.8,6,6.4,6,5.9,6.5,7.6
New Mexico,Mountain,West,6.3661,6.1719,8.0803,7.2556,6.9,8,7.7,5,4,5.6,6.8,6.6,7.4,6.9,7.9,7.6,8,8,8.8,8.8
New York,Middle Atlantic,Northeast,7.4518,7.0561,6.6898,6.8901,7,6.9,6.5,6.5,6.6,6.8,6.9,6.8,6.8,6.8,7.3,7.6,7.1,7.3,8,8.6
North Carolina,South Atlantic,South,6.9676,6.9599,6.8922,6.51,6.6,6.7,6.6,6.6,6.9,7,7.3,7.3,7.3,7.4,7.7,7.4,8.2,8.5,8.4,7.8
North Dakota,West North Central,Midwest,5.9555,6.1723,6.3004,6.341,6.6,6.7,6.5,6.4,6.5,6.6,6.7,6.8,6.9,7.1,6.8,6.5,7.2,6.6,7.1,7.5
Ohio,East North Central,Midwest,5.9562,5.9056,5.7515,5.7089,5.8,5.9,5.8,5.8,6,6.1,6.3,6.5,6.6,6.7,7,7.2,7.8,7.8,8,9
Oklahoma,West South Central,South,6.6789,7.4189,7.0752,7.0834,6.9,6.9,7.2,6.9,7.1,7.3,7.3,7.3,6.5,,,,,6.8,8.6,10.6
Oregon,Pacific,West,6.8592,6.8874,6.8341,6.3348,6.6,6.6,6.5,6.6,6.9,7.2,7.3,7.3,8.1,7.2,7.1,7.5,7.6,7.6,8.1,8.9
Pennsylvania,Middle Atlantic,Northeast,5.7787,5.6846,5.8429,5.4323,5.5,5.3,5.3,5.3,5.5,5.7,5.7,5.8,5.9,5.9,5.7,5.8,6,6.1,6.2,7.1
Rhode Island,New England,Northeast,6.7104,6.3533,6.67,6.213,6.1,6,5.8,5.9,6.1,6.4,6.6,7,7.7,7.8,7.8,8.1,7.6,7.5,7.3,8.1
South Carolina,South Atlantic,South,6.633,7.4983,7.624,7.142,7.4,7.2,7.4,7.3,7.3,7.9,7.8,8.3,8.2,9,9.3,9.9,10.6,10.2,11.9,15.9
South Dakota,West North Central,Midwest,7.2471,7.214,7.0736,7.0058,7.5,7.5,7.3,7.3,7.7,7.8,8,8.4,8.4,8.4,8.8,8.9,9.4,9.1,9.9,11.1
Tennessee,East South Central,South,8.6141,8.5023,8.4092,8.4478,8.8,9,8.8,8.4,9.4,10.1,10.6,10.9,11.4,11.9,13.1,13.5,15.5,14.7,15.5,13.9
Texas,West South Central,South,7.0776,7.2145,6.8516,6.9764,7.3,7.1,7.1,7.1,7.3,7.4,7.6,7.8,8,8.1,8.4,9.1,9.4,9.1,9.9,10.5
Utah,Mountain,West,8.9902,8.076,7.3179,7.5036,8.4,8.6,8.5,8.4,9,9.6,9.2,9.8,9.9,10.2,10.4,10.2,10.8,9.6,10.7,11.2
Vermont,New England,Northeast,8.2998,8.1241,8.6983,9.1553,8.2,8.3,9.3,8.7,7.9,8.5,8.6,8.9,9.4,9.7,9.8,9.8,10,10,10.3,10.9
Virginia,South Atlantic,South,6.9886,6.9803,6.7444,6.6578,6.8,6.8,6.8,6.9,7.2,7.5,7.8,8.2,8.3,8.4,8.6,8.8,8.8,9.2,10.2,11.4
Washington,Pacific,West,6.2356,6.2194,6.9561,7.1103,6.3,6.1,6,6,6.3,6.4,6.5,6.5,6.5,6.5,6.5,7,6.9,7.2,7.7,9.5
West Virginia,South Atlantic,South,6.3541,6.5749,6.6691,6.644,7,7.2,6.7,6.7,7.1,7.3,7.3,7.4,7.5,7.5,8.1,7.9,8.7,7.5,6.1,7.2
Wisconsin,East North Central,Midwest,5.6161,5.6114,5.6913,5.2191,5.4,5.3,5.3,5.3,5.6,5.7,6,6.1,6.2,6.2,6.3,6.5,6.7,6.7,7,7.9
Wyoming,Mountain,West,7.0794,7.3417,7.659,7.5499,7.6,7.8,7.6,8,8.6,9,9.3,9.3,9.3,9.3,9.5,10,10,9.9,10.6,10.7
